Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Annual brutto salary (without bonus and stocks) in EUR,Annual bonus + stocks in EUR,Annual Total Salary,One Year ago Brutto Salary,1 Year Ago Bonuses,1 Year Ago Total Salary,Number of vacation days,Company type
30,Male,Berlin,Software Engineer,10,4,Senior,60000,6000,66000,52000,0,52000,30,Product
30,Male,Hannover,Software Engineer,5,3,Middle,80000,10000,90000,70000,0,70000,28,Product
30,Male,Rosenheim,Software Engineer,9,5,Middle,60000,1000,61000,60000,1000,61000,28,Product
30,Male,Berlin,Software Engineer,7,1,Senior,65000,5000,70000,60000,2000,62000,30,Product
30,Male,Munich,DevOps,8,2,Middle,140000,6000,146000,132000,2000,134000,28,Product
30,Male,Berlin,Backend Developer,8,2,Middle,64000,6000,70000,63000,6000,69000,28,Product
30,Male,Frankfurt,Data Scientist,5,4,Middle,85000,40000,125000,78000,7000,85000,28,Product
30,Male,Berlin,Software Engineer,10,7,Lead,70000,10000,80000,70000,10000,80000,26,Product
30,Male,Heidelberg,Software Engineer,9,4,Senior,95000,15000,110000,75000,10000,85000,30,Product
30,Male,Stockholm,Backend Developer,7,2.5,Senior,58800,20700,79500,56400,17000,73400,35,Product
30,Male,Cologne,technical business analyst,5,5,Middle,122000,45000,167000,118000,46000,164000,28,Product
30,Male,Berlin,Software Engineer,9,1,Middle,76000,10000,86000,63000,63000,126000,27,Product
30,Male,Berlin,Frontend Developer,11,5,Senior,66000,6000,72000,61200,67200,128400,30,Product
30,Male,Heidelberg,Software Engineer,9,4,Senior,92000,14000,106000,75000,78000,153000,30,Product
30,Male,Berlin,Data Engineer,5,4,Lead,172000,100000,272000,169000,120000,289000,25,Product
30,Male,Munich,Frontend Developer,9,3,Middle,70000,8000,78000,63000,0,63000,28,Product
30,Male,Berlin,Software Engineer,9,9,Lead,70000,0,70000,60000,0,60000,25,Product
30,Male,Munich,DevOps,10,3,Lead,42000,0,42000,42000,0,42000,25,Product
30,Male,Berlin,Backend Developer,10,4,Lead,62000,0,62000,62000,0,62000,26,Product
